"name","feature","depth","trees","rmse"
"Chagas","cdk","2","5","0.6552974502130973"
"Chagas","rdkit","2","5","0.6253411934225735"
"Chagas","cdk","2","10","0.6638794030236118"
"Chagas","rdkit","2","10","0.6351202775074467"
"Chagas","cdk","2","20","0.6658035972131526"
"Chagas","rdkit","2","20","0.6249941621829053"
"Chagas","cdk","2","30","0.6618446567020003"
"Chagas","rdkit","2","30","0.6309396824765293"
"Chagas","cdk","2","40","0.657535766513021"
"Chagas","rdkit","2","40","0.6288468502964899"
"Chagas","cdk","2","50","0.6614162824423025"
"Chagas","rdkit","2","50","0.6265763629223151"
"Chagas","cdk","2","60","0.6620761041095506"
"Chagas","rdkit","2","60","0.630431310888321"
"Chagas","cdk","2","70","0.6618878735536513"
"Chagas","rdkit","2","70","0.6263640807664257"
"Chagas","cdk","5","5","0.5947121685403648"
"Chagas","rdkit","5","5","0.5536020216196792"
"Chagas","cdk","5","10","0.5834364865262331"
"Chagas","rdkit","5","10","0.5615587854549436"
"Chagas","cdk","5","20","0.5747396133080921"
"Chagas","rdkit","5","20","0.5530130325887577"
"Chagas","cdk","5","30","0.5760867847870408"
"Chagas","rdkit","5","30","0.5593784884689702"
"Chagas","cdk","5","40","0.5679479323187611"
"Chagas","rdkit","5","40","0.5519234540231573"
"Chagas","cdk","5","50","0.5719173452166426"
"Chagas","rdkit","5","50","0.5506686320035816"
"Chagas","cdk","5","60","0.5712261867348715"
"Chagas","rdkit","5","60","0.5517764575889391"
"Chagas","cdk","5","70","0.5716977873341558"
"Chagas","rdkit","5","70","0.5486134610101995"
"Chagas","cdk","10","5","0.5559499170329658"
"Chagas","rdkit","10","5","0.5250462703760175"
"Chagas","cdk","10","10","0.5441970855050922"
"Chagas","rdkit","10","10","0.5211495398237529"
"Chagas","cdk","10","20","0.5268547153031212"
"Chagas","rdkit","10","20","0.5076100745568837"
"Chagas","cdk","10","30","0.5315157681863292"
"Chagas","rdkit","10","30","0.512965621121245"
"Chagas","cdk","10","40","0.522606212592033"
"Chagas","rdkit","10","40","0.49929163453176584"
"Chagas","cdk","10","50","0.5268157909226733"
"Chagas","rdkit","10","50","0.5038883202522169"
"Chagas","cdk","10","60","0.524485875063765"
"Chagas","rdkit","10","60","0.49815232366836515"
"Chagas","cdk","10","70","0.5244330894795497"
"Chagas","rdkit","10","70","0.5001273406445339"
"Chagas","cdk","15","5","0.5462693965102103"
"Chagas","rdkit","15","5","0.519649361525619"
"Chagas","cdk","15","10","0.5312104904769502"
"Chagas","rdkit","15","10","0.515762189509652"
"Chagas","cdk","15","20","0.5138715850652555"
"Chagas","rdkit","15","20","0.49900649340776404"
"Chagas","cdk","15","30","0.5164146759703573"
"Chagas","rdkit","15","30","0.5014979325693429"
"Chagas","cdk","15","40","0.5075203089219327"
"Chagas","rdkit","15","40","0.4858056646722435"
"Chagas","cdk","15","50","0.514410677088089"
"Chagas","rdkit","15","50","0.4925704599810406"
"Chagas","cdk","15","60","0.5098159941346695"
"Chagas","rdkit","15","60","0.4882639787554103"
"Chagas","cdk","15","70","0.5100497308260596"
"Chagas","rdkit","15","70","0.4890860276925215"
"Chagas","cdk","20","5","0.5418850000025578"
"Chagas","rdkit","20","5","0.5217140220164698"
"Chagas","cdk","20","10","0.5268294065192975"
"Chagas","rdkit","20","10","0.5144769535117406"
"Chagas","cdk","20","20","0.5091177845974159"
"Chagas","rdkit","20","20","0.4992624422242705"
"Chagas","cdk","20","30","0.5116637397276458"
"Chagas","rdkit","20","30","0.49748257623999"
"Chagas","cdk","20","40","0.503065904959519"
"Chagas","rdkit","20","40","0.48223046493430777"
"Chagas","cdk","20","50","0.5107665527272938"
"Chagas","rdkit","20","50","0.4913346621428494"
"Chagas","cdk","20","60","0.505247301674889"
"Chagas","rdkit","20","60","0.48594987466390577"
"Chagas","cdk","20","70","0.5055085492387434"
"Chagas","rdkit","20","70","0.4873002718466305"
"Chagas","cdk","30","5","0.5445942086717612"
"Chagas","rdkit","30","5","0.5224577619846552"
"Chagas","cdk","30","10","0.5254051490048586"
"Chagas","rdkit","30","10","0.5155428808890374"
"Chagas","cdk","30","20","0.5080015694529023"
"Chagas","rdkit","30","20","0.49931556885850004"
"Chagas","cdk","30","30","0.5100676503466418"
"Chagas","rdkit","30","30","0.49804783996068186"
"Chagas","cdk","30","40","0.501513766759242"
"Chagas","rdkit","30","40","0.48034931171345674"
"Chagas","cdk","30","50","0.5096485964823194"
"Chagas","rdkit","30","50","0.4903680868019604"
"Chagas","cdk","30","60","0.5030479247534996"
"Chagas","rdkit","30","60","0.4856113610614135"
"Chagas","cdk","30","70","0.5030612617575956"
"Chagas","rdkit","30","70","0.48699625632515736"
"TB_MDR","cdk","2","5","0.7040496909279739"
"TB_MDR","rdkit","2","5","0.7092801601311624"
"TB_MDR","cdk","2","10","0.7010097784220333"
"TB_MDR","rdkit","2","10","0.7092502312816787"
"TB_MDR","cdk","2","20","0.7013628123759759"
"TB_MDR","rdkit","2","20","0.7043056706204269"
"TB_MDR","cdk","2","30","0.7029737844050407"
"TB_MDR","rdkit","2","30","0.7043951773586882"
"TB_MDR","cdk","2","40","0.7008353763121142"
"TB_MDR","rdkit","2","40","0.7035108119672376"
"TB_MDR","cdk","2","50","0.702900535043853"
"TB_MDR","rdkit","2","50","0.7029315372239072"
"TB_MDR","cdk","2","60","0.7012938320609649"
"TB_MDR","rdkit","2","60","0.7041766005471217"
"TB_MDR","cdk","2","70","0.7007980732078727"
"TB_MDR","rdkit","2","70","0.7029371243806173"
"TB_MDR","cdk","5","5","0.6638819021927251"
"TB_MDR","rdkit","5","5","0.6565044344975814"
"TB_MDR","cdk","5","10","0.6564808983887495"
"TB_MDR","rdkit","5","10","0.648234769453747"
"TB_MDR","cdk","5","20","0.6517945034590676"
"TB_MDR","rdkit","5","20","0.6433900973481568"
"TB_MDR","cdk","5","30","0.6508594109693432"
"TB_MDR","rdkit","5","30","0.6475201208617316"
"TB_MDR","cdk","5","40","0.6506406385303665"
"TB_MDR","rdkit","5","40","0.6457449301202531"
"TB_MDR","cdk","5","50","0.6518935346424368"
"TB_MDR","rdkit","5","50","0.6469892591292911"
"TB_MDR","cdk","5","60","0.6510379100077928"
"TB_MDR","rdkit","5","60","0.6484600997112779"
"TB_MDR","cdk","5","70","0.6512626158386716"
"TB_MDR","rdkit","5","70","0.6456553062655047"
"TB_MDR","cdk","10","5","0.6228504865943393"
"TB_MDR","rdkit","10","5","0.6145169630161182"
"TB_MDR","cdk","10","10","0.6108800815399077"
"TB_MDR","rdkit","10","10","0.6049211305505452"
"TB_MDR","cdk","10","20","0.604625138652146"
"TB_MDR","rdkit","10","20","0.598314917456362"
