,name,rmse_min,rmse_common,delta
0,ADMECaco2,0.6013136406679771,0.6263683910413947,0.025054750373417645
1,Caco2,0.5361825377707308,0.5457624822031142,0.009579944432383414
2,Chagas,0.4766327189268119,0.4827720349275409,0.006139316000728978
3,LogP,0.5411074914746877,0.5540080645214839,0.012900573046796149
4,MalariaGSK,0.27782072866453755,0.2897738831297126,0.011953154465175031
5,MalariaNovartis,0.5371514188047888,0.5379265141440239,0.0007750953392351434
6,MouseRatTox,1.1744640684098238,1.1801454146981827,0.005681346288358924
7,TB_MDR,0.568860699335185,0.5897897896376563,0.020929090302471254
8,TB_SRI,0.6312821607095574,0.6352006720604206,0.003918511350863185
9,Xanthine-Bostaurus,0.6540928489459068,0.6550577254575973,0.0009648765116905267
