"ProtocolName","LabelName","GroupValues","Size","Estimator","ROC_AUC","ClassificationPointType","Direction","Threshold","Accuracy","Precision","Recall"
"5-HT6","Ki","NA","163","Weka RF classification","0.89076852418861","Minimum","UP","6.148264209326978","0.8159509202453987","0.7887323943661971","0.7887323943661971"
"5-HT6","Ki","NA","163","Smile Bernoulli NB classification","0.8811236987140233","Minimum","UP","6.148264209326978","0.7300613496932515","0.6336633663366337","0.9014084507042254"
"5-HT6","Ki","NA","163","Smile SVC RBF classification","0.8743110838946733","Minimum","UP","6.148264209326978","0.8098159509202454","0.9","0.6338028169014085"
"5-HT6","Ki","NA","163","Smile SVC Tanimoto classification","0.8651255358236376","Minimum","UP","6.148264209326978","0.7668711656441718","0.7088607594936709","0.7887323943661971"
"5-HT6","Ki","NA","163","Weka RF on folded fp classification","0.8648958971218617","Minimum","UP","6.148264209326978","0.7914110429447853","0.8032786885245902","0.6901408450704225"
"5-HT6","Ki","NA","163","Smile SVC Poly classification","0.8508879363135348","Minimum","UP","6.148264209326978","0.5828220858895705","1.0","0.04225352112676056"
"DOPAMINE D3","Ki","NA","173","Weka RF on folded fp classification","0.8380217785843915","Proportion","UP","8.012098319436179","0.7687861271676301","0.7575757575757576","0.43859649122807015"
"DOPAMINE D3","Ki","NA","173","Smile Bernoulli NB classification","0.8378705384150029","Proportion","UP","8.012098319436179","0.6473988439306358","0.4818181818181818","0.9298245614035088"
"DOPAMINE D3","Ki","NA","173","Smile SVC Poly classification","0.8053539019963711","Proportion","UP","8.012098319436179","0.6705202312138728","NaN","0.0"
"DOPAMINE D3","Ki","NA","173","Smile SVC Tanimoto classification","0.8053539019963701","Proportion","UP","8.012098319436179","0.7572254335260116","0.6363636363636364","0.6140350877192983"
"DOPAMINE D3","Ki","NA","173","Smile SVC RBF classification","0.7781306715063523","Proportion","UP","8.012098319436179","0.7398843930635838","0.8","0.2807017543859649"
"DOPAMINE D3","Ki","NA","173","Weka RF classification","0.7776769509981851","Proportion","UP","8.012098319436179","0.7514450867052023","0.64","0.5614035087719298"
"DOPAMINE D4","Ki","NA","137","Weka RF on folded fp classification","0.7819197446420428","Proportion","UP","7.520088284001859","0.7299270072992701","0.7058823529411765","0.47058823529411764"
"DOPAMINE D4","Ki","NA","137","Smile SVC Tanimoto classification","0.7731418148654808","Proportion","UP","7.520088284001859","0.7299270072992701","0.6458333333333334","0.6078431372549019"
"DOPAMINE D4","Ki","NA","137","Weka RF classification","0.7720018239854082","Proportion","UP","7.520088284001859","0.6715328467153284","0.5652173913043478","0.5098039215686274"
