"ProtocolName","LabelName","GroupValues","Size","Estimator","RMSE","Correlation","IC50","MAE"
"CDK2","Activity Value","Assay Description:Inhibition of CDK2/Cyclin A|Activity Type:IC50|Target Accession Numbers:NP_001789, SK067, P24941|Standard Unit:nM","171","Weka RF folded fingerprints regression","0.8446286910511891","0.7924350555950698","yes","0.6339534269822559"
"CDK2","Activity Value","Assay Description:Inhibition of CDK2/Cyclin A|Activity Type:IC50|Target Accession Numbers:NP_001789, SK067, P24941|Standard Unit:nM","171","RBF libSVM folded fingerprints regression","0.9142519670620749","0.7634752947163894","yes","0.6526094195456099"
"CDK2","Activity Value","Assay Description:Inhibition of CDK2/Cyclin A|Activity Type:IC50|Target Accession Numbers:NP_001789, SK067, P24941|Standard Unit:nM","171","Tanimoto Smile SVM regression","0.9093042519663274","0.7633692025160546","yes","0.6714320933148971"
"CDK2","Activity Value","Assay Description:Inhibition of CDK2/Cyclin A|Activity Type:IC50|Target Accession Numbers:NP_001789, SK067, P24941|Standard Unit:nM","171","Poly Smile SVM fingerprints regression","0.9180463664925429","0.7590009427279814","yes","0.6710098957849859"
"CDK2","Activity Value","Assay Description:Inhibition of CDK2/Cyclin A|Activity Type:IC50|Target Accession Numbers:NP_001789, SK067, P24941|Standard Unit:nM","171","Weka RF descriptors regression","0.933354584199872","0.7387158668625955","yes","0.7447457339897738"
"CDK2","Activity Value","Assay Description:Inhibition of CDK2/Cyclin A|Activity Type:IC50|Target Accession Numbers:NP_001789, SK067, P24941|Standard Unit:nM","171","Elastic Net on folded fingerprints regression","1.0080974034551347","0.7109826162610372","yes","0.7484948041342422"
"CDK2","Activity Value","Assay Description:Inhibition of CDK2/Cyclin A|Activity Type:IC50|Target Accession Numbers:NP_001789, SK067, P24941|Standard Unit:nM","171","RBF Smile SVM descriptors regression","1.0240384537516907","0.703962046923421","yes","0.7728224157175939"
"CDK2","Activity Value","Assay Description:Inhibition of CDK2|Activity Type:IC50|Target Accession Numbers:NP_001789, SK067, P24941|Standard Unit:nM","412","RBF libSVM folded fingerprints regression","0.8408489004237925","0.8134706859922671","yes","0.6164714885091312"
"CDK2","Activity Value","Assay Description:Inhibition of CDK2|Activity Type:IC50|Target Accession Numbers:NP_001789, SK067, P24941|Standard Unit:nM","412","Poly Smile SVM fingerprints regression","0.8482594365721997","0.809334900860261","yes","0.6300228981145648"
"CDK2","Activity Value","Assay Description:Inhibition of CDK2|Activity Type:IC50|Target Accession Numbers:NP_001789, SK067, P24941|Standard Unit:nM","412","Tanimoto Smile SVM regression","0.8537250672463569","0.8070180660077347","yes","0.6292027784757421"
"CDK2","Activity Value","Assay Description:Inhibition of CDK2|Activity Type:IC50|Target Accession Numbers:NP_001789, SK067, P24941|Standard Unit:nM","412","Weka RF folded fingerprints regression","0.8661584486579873","0.8040099137330018","yes","0.6614210966191495"
"CDK2","Activity Value","Assay Description:Inhibition of CDK2|Activity Type:IC50|Target Accession Numbers:NP_001789, SK067, P24941|Standard Unit:nM","412","RBF Smile SVM descriptors regression","0.8656363700410061","0.8034588746536631","yes","0.6380936677977099"
"CDK2","Activity Value","Assay Description:Inhibition of CDK2|Activity Type:IC50|Target Accession Numbers:NP_001789, SK067, P24941|Standard Unit:nM","412","Elastic Net on folded fingerprints regression","0.8764837463062846","0.7955307423250593","yes","0.6419071972748482"
"CDK2","Activity Value","Assay Description:Inhibition of CDK2|Activity Type:IC50|Target Accession Numbers:NP_001789, SK067, P24941|Standard Unit:nM","412","Weka RF descriptors regression","0.8925382081090829","0.7901234745345573","yes","0.68692850097922"
"WEE1","Activity Value","Assay Description:Inhibition of human Wee1|Activity Type:IC50|Target Accession Numbers:NP_003381, SK391, P30291, Q6NSL2|Standard Unit:nM","181","Tanimoto Smile SVM regression","0.5143911708105526","0.7454703038405649","yes","0.38088334172286736"
"WEE1","Activity Value","Assay Description:Inhibition of human Wee1|Activity Type:IC50|Target Accession Numbers:NP_003381, SK391, P30291, Q6NSL2|Standard Unit:nM","181","RBF libSVM folded fingerprints regression","0.5226533918513468","0.7336796018011206","yes","0.38596829710863634"
"WEE1","Activity Value","Assay Description:Inhibition of human Wee1|Activity Type:IC50|Target Accession Numbers:NP_003381, SK391, P30291, Q6NSL2|Standard Unit:nM","181","Elastic Net on folded fingerprints regression","0.5302555305917452","0.7284893287676123","yes","0.3905469192985537"
"WEE1","Activity Value","Assay Description:Inhibition of human Wee1|Activity Type:IC50|Target Accession Numbers:NP_003381, SK391, P30291, Q6NSL2|Standard Unit:nM","181","Weka RF folded fingerprints regression","0.5347413795904102","0.726304354442175","yes","0.3963679792402572"
"WEE1","Activity Value","Assay Description:Inhibition of human Wee1|Activity Type:IC50|Target Accession Numbers:NP_003381, SK391, P30291, Q6NSL2|Standard Unit:nM","181","Poly Smile SVM fingerprints regression","0.5575640577121304","0.6891243759692409","yes","0.4079611120419108"
"WEE1","Activity Value","Assay Description:Inhibition of human Wee1|Activity Type:IC50|Target Accession Numbers:NP_003381, SK391, P30291, Q6NSL2|Standard Unit:nM","181","Weka RF descriptors regression","0.6151549016435122","0.5957970586648713","yes","0.436770940166346"
"WEE1","Activity Value","Assay Description:Inhibition of human Wee1|Activity Type:IC50|Target Accession Numbers:NP_003381, SK391, P30291, Q6NSL2|Standard Unit:nM","181","RBF Smile SVM descriptors regression","0.6950806149043683","0.48575560132795276","yes","0.5034278159905268"
"WEE1","Activity Value","Assay Description:Inhibition of human Wee1 in presence of 9.5 uM ATP|Activity Type:IC50|Target Accession Numbers:NP_003381, SK391, P30291, Q6NSL2|Standard Unit:nM","103","RBF libSVM folded fingerprints regression","0.6232453630818723","0.8085937140622893","yes","0.47153857373045016"
"WEE1","Activity Value","Assay Description:Inhibition of human Wee1 in presence of 9.5 uM ATP|Activity Type:IC50|Target Accession Numbers:NP_003381, SK391, P30291, Q6NSL2|Standard Unit:nM","103","Tanimoto Smile SVM regression","0.6603635977050731","0.7870729120155845","yes","0.5088654687412053"
"WEE1","Activity Value","Assay Description:Inhibition of human Wee1 in presence of 9.5 uM ATP|Activity Type:IC50|Target Accession Numbers:NP_003381, SK391, P30291, Q6NSL2|Standard Unit:nM","103","Elastic Net on folded fingerprints regression","0.6558521510381884","0.7812795576019488","yes","0.4971415550679209"
"WEE1","Activity Value","Assay Description:Inhibition of human Wee1 in presence of 9.5 uM ATP|Activity Type:IC50|Target Accession Numbers:NP_003381, SK391, P30291, Q6NSL2|Standard Unit:nM","103","Poly Smile SVM fingerprints regression","0.6596403560652203","0.7745490825920942","yes","0.5015282963401053"
"WEE1","Activity Value","Assay Description:Inhibition of human Wee1 in presence of 9.5 uM ATP|Activity Type:IC50|Target Accession Numbers:NP_003381, SK391, P30291, Q6NSL2|Standard Unit:nM","103","Weka RF folded fingerprints regression","0.7566148630132113","0.6908288475555968","yes","0.5619256360984609"
"WEE1","Activity Value","Assay Description:Inhibition of human Wee1 in presence of 9.5 uM ATP|Activity Type:IC50|Target Accession Numbers:NP_003381, SK391, P30291, Q6NSL2|Standard Unit:nM","103","RBF Smile SVM descriptors regression","0.9120740192388239","0.5177009205474371","yes","0.6887383807642924"
"WEE1","Activity Value","Assay Description:Inhibition of human Wee1 in presence of 9.5 uM ATP|Activity Type:IC50|Target Accession Numbers:NP_003381, SK391, P30291, Q6NSL2|Standard Unit:nM","103","Weka RF descriptors regression","0.9638067727962262","0.40979221182458025","yes","0.7572537732734715"
"DYRK1A","Activity Value","Assay Description:PubChem BioAssay. Assay for Inhibitors of Dual-Specificity Tyrosine-(Y)-Phosphorylation Regulated Kinase 1A (Kinase-Glo assay): round 2 SAR. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID1770, AID1970, AID2705, AID488872]|Activity Type:Potency|Target Accession Numbers:NP_001387, NP_567824, NP_569120, NP_569121, NP_569122, SK234, Q13627|Standard Unit:uM","141","Elastic Net on folded fingerprints regression","0.47041837791280305","0.7989237949700297","yes","0.3182316710900986"
"DYRK1A","Activity Value","Assay Description:PubChem BioAssay. Assay for Inhibitors of Dual-Specificity Tyrosine-(Y)-Phosphorylation Regulated Kinase 1A (Kinase-Glo assay): round 2 SAR. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID1770, AID1970, AID2705, AID488872]|Activity Type:Potency|Target Accession Numbers:NP_001387, NP_567824, NP_569120, NP_569121, NP_569122, SK234, Q13627|Standard Unit:uM","141","Poly Smile SVM fingerprints regression","0.47093533217406874","0.7945588889580686","yes","0.31429363754163736"
"DYRK1A","Activity Value","Assay Description:PubChem BioAssay. Assay for Inhibitors of Dual-Specificity Tyrosine-(Y)-Phosphorylation Regulated Kinase 1A (Kinase-Glo assay): round 2 SAR. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID1770, AID1970, AID2705, AID488872]|Activity Type:Potency|Target Accession Numbers:NP_001387, NP_567824, NP_569120, NP_569121, NP_569122, SK234, Q13627|Standard Unit:uM","141","RBF libSVM folded fingerprints regression","0.47726647515622894","0.7894943118137832","yes","0.31589808001684044"
"DYRK1A","Activity Value","Assay Description:PubChem BioAssay. Assay for Inhibitors of Dual-Specificity Tyrosine-(Y)-Phosphorylation Regulated Kinase 1A (Kinase-Glo assay): round 2 SAR. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID1770, AID1970, AID2705, AID488872]|Activity Type:Potency|Target Accession Numbers:NP_001387, NP_567824, NP_569120, NP_569121, NP_569122, SK234, Q13627|Standard Unit:uM","141","Weka RF folded fingerprints regression","0.48316006331439215","0.7835885824437758","yes","0.34942823651536686"
"DYRK1A","Activity Value","Assay Description:PubChem BioAssay. Assay for Inhibitors of Dual-Specificity Tyrosine-(Y)-Phosphorylation Regulated Kinase 1A (Kinase-Glo assay): round 2 SAR. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID1770, AID1970, AID2705, AID488872]|Activity Type:Potency|Target Accession Numbers:NP_001387, NP_567824, NP_569120, NP_569121, NP_569122, SK234, Q13627|Standard Unit:uM","141","Tanimoto Smile SVM regression","0.48724069018857086","0.7758109162021911","yes","0.3323950197648005"
"DYRK1A","Activity Value","Assay Description:PubChem BioAssay. Assay for Inhibitors of Dual-Specificity Tyrosine-(Y)-Phosphorylation Regulated Kinase 1A (Kinase-Glo assay): round 2 SAR. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID1770, AID1970, AID2705, AID488872]|Activity Type:Potency|Target Accession Numbers:NP_001387, NP_567824, NP_569120, NP_569121, NP_569122, SK234, Q13627|Standard Unit:uM","141","RBF Smile SVM descriptors regression","0.6484057140723098","0.5860948216149753","yes","0.4492159930888469"
"DYRK1A","Activity Value","Assay Description:PubChem BioAssay. Assay for Inhibitors of Dual-Specificity Tyrosine-(Y)-Phosphorylation Regulated Kinase 1A (Kinase-Glo assay): round 2 SAR. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID1770, AID1970, AID2705, AID488872]|Activity Type:Potency|Target Accession Numbers:NP_001387, NP_567824, NP_569120, NP_569121, NP_569122, SK234, Q13627|Standard Unit:uM","141","Weka RF descriptors regression","0.641367057401849","0.5571048451269002","yes","0.46597626099456296"
"LCK","Activity Value","Assay Description:Inhibition of LCK|Activity Type:IC50|Target Accession Numbers:NP_005347, SK206, P06239, Q7RTZ3|Standard Unit:nM","243","Poly Smile SVM fingerprints regression","0.8433651989950265","0.7544129763686392","yes","0.5951301294171251"
"LCK","Activity Value","Assay Description:Inhibition of LCK|Activity Type:IC50|Target Accession Numbers:NP_005347, SK206, P06239, Q7RTZ3|Standard Unit:nM","243","RBF libSVM folded fingerprints regression","0.8508751454770999","0.750198138802948","yes","0.5944076400379349"
"LCK","Activity Value","Assay Description:Inhibition of LCK|Activity Type:IC50|Target Accession Numbers:NP_005347, SK206, P06239, Q7RTZ3|Standard Unit:nM","243","Weka RF folded fingerprints regression","0.8829909121091069","0.7279844434335039","yes","0.6230539074579157"
"LCK","Activity Value","Assay Description:Inhibition of LCK|Activity Type:IC50|Target Accession Numbers:NP_005347, SK206, P06239, Q7RTZ3|Standard Unit:nM","243","Tanimoto Smile SVM regression","0.90211365722433","0.7162742913429467","yes","0.6343273004902802"
"LCK","Activity Value","Assay Description:Inhibition of LCK|Activity Type:IC50|Target Accession Numbers:NP_005347, SK206, P06239, Q7RTZ3|Standard Unit:nM","243","Elastic Net on folded fingerprints regression","0.9264138764356079","0.7031685909099539","yes","0.6457672477354574"
"LCK","Activity Value","Assay Description:Inhibition of LCK|Activity Type:IC50|Target Accession Numbers:NP_005347, SK206, P06239, Q7RTZ3|Standard Unit:nM","243","Weka RF descriptors regression","0.9474700013741489","0.6777372674829528","yes","0.6757903210995526"
"LCK","Activity Value","Assay Description:Inhibition of LCK|Activity Type:IC50|Target Accession Numbers:NP_005347, SK206, P06239, Q7RTZ3|Standard Unit:nM","243","RBF Smile SVM descriptors regression","0.9712620078029269","0.6703431775540347","yes","0.6688543374540532"
"LCK","Activity Value","Assay Description:Inhibition of Lck|Activity Type:IC50|Target Accession Numbers:NP_005347, SK206, P06239, Q7RTZ3|Standard Unit:nM","356","RBF libSVM folded fingerprints regression","0.870335953087983","0.7764712431068709","yes","0.6532184555496727"
"LCK","Activity Value","Assay Description:Inhibition of Lck|Activity Type:IC50|Target Accession Numbers:NP_005347, SK206, P06239, Q7RTZ3|Standard Unit:nM","356","Poly Smile SVM fingerprints regression","0.8706195401648257","0.7753935759851214","yes","0.669633314573305"
"LCK","Activity Value","Assay Description:Inhibition of Lck|Activity Type:IC50|Target Accession Numbers:NP_005347, SK206, P06239, Q7RTZ3|Standard Unit:nM","356","Tanimoto Smile SVM regression","0.8778266016429922","0.7701145715413387","yes","0.6643298825396186"
"LCK","Activity Value","Assay Description:Inhibition of Lck|Activity Type:IC50|Target Accession Numbers:NP_005347, SK206, P06239, Q7RTZ3|Standard Unit:nM","356","Elastic Net on folded fingerprints regression","0.8862931339073162","0.7668910413521215","yes","0.6715808941450628"
"LCK","Activity Value","Assay Description:Inhibition of Lck|Activity Type:IC50|Target Accession Numbers:NP_005347, SK206, P06239, Q7RTZ3|Standard Unit:nM","356","Weka RF folded fingerprints regression","0.8852340857684892","0.765778668206642","yes","0.6906670298597036"
"LCK","Activity Value","Assay Description:Inhibition of Lck|Activity Type:IC50|Target Accession Numbers:NP_005347, SK206, P06239, Q7RTZ3|Standard Unit:nM","356","RBF Smile SVM descriptors regression","0.9717101999620558","0.7164041552835726","yes","0.7297905108948443"
"LCK","Activity Value","Assay Description:Inhibition of Lck|Activity Type:IC50|Target Accession Numbers:NP_005347, SK206, P06239, Q7RTZ3|Standard Unit:nM","356","Weka RF descriptors regression","0.9963520839763212","0.6903260549777935","yes","0.7821768831500533"
"CLK4","Activity Value","Assay Description:PubChem BioAssay. Confirmation Assay for Inhibitors of CDC-like Kinase 4 (Kinase-Glo Assay). (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID1379, AID1770, AID1983, AID1997, AID2710, AID488872, AID488883, AID488887, AID493206, AID504421, AID504424, AID504427, AID504428, AID504429, AID504430]|Activity Type:Potency|Target Accession Numbers:NP_065717_1, Q9HAZ1|Standard Unit:uM","167","Elastic Net on folded fingerprints regression","0.49530035221425794","0.8357376941555111","yes","0.3540831282006992"
