"GroupName","GroupValue","Size","Estimator","RMSE","Correlation"
"Target (full name)","Serine/threonine-protein kinase AKT","364","Weka RF descriptors regression","4.310551241871121","0.9193062553470094"
"Target (full name)","Serine/threonine-protein kinase AKT","364","Weka RF folded fingerprints regression","5.149868081652186","0.8957618399734626"
"Target (full name)","Serine/threonine-protein kinase AKT","364","Poly Smile SVM fingerprints regression","4.9877964627800235","0.8843873857474465"
"Target (full name)","Serine/threonine-protein kinase AKT","364","Elastic Net on folded fingerprints regression","5.442740396713637","0.8598893615491093"
"Target (full name)","Serine/threonine-protein kinase AKT","364","RBF Smile SVM descriptors regression","8.59337420421349","0.8179218883582489"
"Target (full name)","Serine/threonine-protein kinase AKT","364","RBF libSVM folded fingerprints regression","8.976167597525524","0.7895559513883634"
"Target (full name)","Serine/threonine-protein kinase AKT","364","Tanimoto Smile SVM regression","9.663637041608823","0.7242012976306877"
"Target (full name)","Serine/threonine-protein kinase AKT2","364","Weka RF descriptors regression","4.52415930191813","0.9212542458188954"
"Target (full name)","Serine/threonine-protein kinase AKT2","364","Poly Smile SVM fingerprints regression","4.727464389152653","0.9107478690830892"
"Target (full name)","Serine/threonine-protein kinase AKT2","364","Weka RF folded fingerprints regression","5.342644084096709","0.9049021312840148"
"Target (full name)","Serine/threonine-protein kinase AKT2","364","Elastic Net on folded fingerprints regression","5.118338164164677","0.8948456870444547"
"Target (full name)","Serine/threonine-protein kinase AKT2","364","RBF Smile SVM descriptors regression","9.338946022178225","0.8203689850032282"
"Target (full name)","Serine/threonine-protein kinase AKT2","364","RBF libSVM folded fingerprints regression","9.688000699910916","0.8010905213552153"
"Target (full name)","Serine/threonine-protein kinase AKT2","364","Tanimoto Smile SVM regression","10.367613150044606","0.7208490427858453"
"Target (full name)","Serine/threonine-protein kinase AKT3","364","Weka RF descriptors regression","4.733538196435725","0.9143789674337419"
"Target (full name)","Serine/threonine-protein kinase AKT3","364","Weka RF folded fingerprints regression","5.247601275040157","0.8895450673405116"
"Target (full name)","Serine/threonine-protein kinase AKT3","364","Poly Smile SVM fingerprints regression","5.326110838974207","0.873542231569002"
"Target (full name)","Serine/threonine-protein kinase AKT3","364","Elastic Net on folded fingerprints regression","5.597303050758979","0.8578586889627599"
"Target (full name)","Serine/threonine-protein kinase AKT3","364","RBF Smile SVM descriptors regression","9.013768141397952","0.8180824197997177"
"Target (full name)","Serine/threonine-protein kinase AKT3","364","RBF libSVM folded fingerprints regression","9.344417386953245","0.7693179017511763"
"Target (full name)","Serine/threonine-protein kinase AKT3","364","Tanimoto Smile SVM regression","10.028881447686986","0.722099100992605"
"Target (full name)","G protein-coupled receptor kinase 6","364","Weka RF descriptors regression","6.466512439047847","0.5645359541196401"
"Target (full name)","G protein-coupled receptor kinase 6","364","Poly Smile SVM fingerprints regression","6.699694935101002","0.5565345494644285"
"Target (full name)","G protein-coupled receptor kinase 6","364","Weka RF folded fingerprints regression","6.5887921286609314","0.5498972966723208"
"Target (full name)","G protein-coupled receptor kinase 6","364","Elastic Net on folded fingerprints regression","7.035181553465074","0.49412004967102346"
"Target (full name)","G protein-coupled receptor kinase 6","364","RBF libSVM folded fingerprints regression","7.057806046374761","0.46872620350365735"
"Target (full name)","G protein-coupled receptor kinase 6","364","RBF Smile SVM descriptors regression","7.102485837264689","0.45647734873058127"
"Target (full name)","G protein-coupled receptor kinase 6","364","Tanimoto Smile SVM regression","7.299210713655747","0.43634311002141835"
"Target (full name)","G protein-coupled receptor kinase 7","364","Poly Smile SVM fingerprints regression","7.4098385689096125","0.3786045575003947"
"Target (full name)","G protein-coupled receptor kinase 7","364","Weka RF descriptors regression","7.3573543990232215","0.33816653391367446"
"Target (full name)","G protein-coupled receptor kinase 7","364","RBF Smile SVM descriptors regression","7.339098038273289","0.3275396312077088"
"Target (full name)","G protein-coupled receptor kinase 7","364","Weka RF folded fingerprints regression","7.346059310230884","0.32721445239265473"
"Target (full name)","G protein-coupled receptor kinase 7","364","Elastic Net on folded fingerprints regression","8.064365642690015","0.29155821819125494"
"Target (full name)","G protein-coupled receptor kinase 7","364","RBF libSVM folded fingerprints regression","7.478559707232405","0.2752897779382424"
"Target (full name)","G protein-coupled receptor kinase 7","364","Tanimoto Smile SVM regression","7.480913636566975","0.2741849974374967"
"Target (full name)","Serine/threonine-protein kinase MRCK-A","364","Weka RF folded fingerprints regression","6.204620050874121","0.556928367652261"
