"NAME [String]","METHOD [String]","degree [Int]","C [Double]","scalerType [String]","offset [Double]","f1 [Double]","f1_1 [Double]","f1_2 [Double]","f1_3 [Double]"
"BothRegression","SMILE_POLY_SVM","2","1.0E-4","MaxMin","0.0","0.0","0.0","0.0","0.0"
"BothRegression","SMILE_POLY_SVM","3","1.0E-4","MaxMin","0.0","0.12935323383084577","0.3880597014925373","0.0","0.0"
"BothRegression","SMILE_POLY_SVM","4","1.0E-4","MaxMin","0.0","0.12935323383084577","0.3880597014925373","0.0","0.0"
"BothRegression","SMILE_POLY_SVM","2","0.001","MaxMin","0.0","0.13333333333333333","0.0","0.0","0.4"
"BothRegression","SMILE_POLY_SVM","3","0.001","MaxMin","0.0","0.26881720430107525","0.8064516129032258","0.0","0.0"
"BothRegression","SMILE_POLY_SVM","4","0.001","MaxMin","0.0","0.7100810536980751","0.65","0.7142857142857143","0.7659574468085106"
"BothRegression","SMILE_POLY_SVM","2","0.01","MaxMin","0.0","0.2836879432624113","0.0","0.8510638297872339","0.0"
"BothRegression","SMILE_POLY_SVM","3","0.01","MaxMin","0.0","0.7436868686868688","0.6666666666666666","0.7727272727272727","0.7916666666666667"
"BothRegression","SMILE_POLY_SVM","4","0.01","MaxMin","0.0","0.753835978835979","0.7555555555555555","0.7142857142857143","0.7916666666666667"
"BothRegression","SMILE_POLY_SVM","2","0.1","MaxMin","0.0","0.7911453625739341","0.7692307692307693","0.787878787878788","0.8163265306122449"
"BothRegression","SMILE_POLY_SVM","3","0.1","MaxMin","0.0","0.8011665906672748","0.7843137254901961","0.744186046511628","0.8750000000000001"
"BothRegression","SMILE_POLY_SVM","4","0.1","MaxMin","0.0","0.8315274494352508","0.7916666666666666","0.8510638297872339","0.8518518518518519"
"BothRegression","SMILE_POLY_SVM","2","1.0","MaxMin","0.0","0.8332703451751072","0.7500000000000001","0.8979591836734695","0.8518518518518519"
"BothRegression","SMILE_POLY_SVM","3","1.0","MaxMin","0.0","0.8566284375385376","0.8","0.9019607843137256","0.8679245283018868"
"BothRegression","SMILE_POLY_SVM","4","1.0","MaxMin","0.0","0.8496329813976873","0.8461538461538461","0.8400000000000001","0.8627450980392156"
"BothRegression","SMILE_POLY_SVM","2","1.0E-4","Standard","0.0","0.0","0.0","0.0","0.0"
"BothRegression","SMILE_POLY_SVM","3","1.0E-4","Standard","0.0","0.4156076898012382","0.32258064516129037","0.42424242424242425","0.5"
"BothRegression","SMILE_POLY_SVM","4","1.0E-4","Standard","0.0","0.5247049247049246","0.4444444444444444","0.5142857142857142","0.6153846153846153"
